batch,Dec_CrossAttn_L0,Dec_CrossAttn_L1,Dec_CrossAttn_L2,Dec_CrossAttn_L3,Dec_CrossAttn_L4,Dec_CrossAttn_L5,Dec_FFN_L0,Dec_FFN_L1,Dec_FFN_L2,Dec_FFN_L3,Dec_FFN_L4,Dec_FFN_L5,Dec_SelfAttn_L0,Dec_SelfAttn_L1,Dec_SelfAttn_L2,Dec_SelfAttn_L3,Dec_SelfAttn_L4,Dec_SelfAttn_L5,Enc_FFN_L0,Enc_FFN_L1,Enc_FFN_L2,Enc_FFN_L3,Enc_FFN_L4,Enc_FFN_L5,Enc_SelfAttn_L0,Enc_SelfAttn_L1,Enc_SelfAttn_L2,Enc_SelfAttn_L3,Enc_SelfAttn_L4,Enc_SelfAttn_L5
batch 0,0.838902,0.656017,0.618186,0.603393,0.686045,0.621702,0.582143,0.463231,0.463992,0.543984,0.551563,0.780866,0.790929,0.219889,0.164337,0.136361,0.290275,0.412862,0.836071,0.655306,0.550724,0.449361,0.394644,0.433458,1.615267,0.788200,0.511225,0.398298,0.386475,0.337461
batch 1,0.780389,0.630462,0.633026,0.624850,0.717101,0.587716,0.567111,0.467693,0.475999,0.542300,0.550725,0.757240,0.722757,0.230768,0.156601,0.136697,0.294995,0.407212,0.740309,0.527203,0.471559,0.433654,0.408841,0.476860,1.550849,0.739556,0.544653,0.480845,0.437064,0.369230
batch 2,0.879546,0.690664,0.607452,0.607454,0.658269,0.626535,0.592521,0.476913,0.473719,0.526990,0.529607,0.751565,0.859349,0.248900,0.170140,0.128221,0.270859,0.405718,0.836678,0.610958,0.575842,0.437207,0.408908,0.447269,1.610121,0.783317,0.543285,0.455450,0.393832,0.355907
batch 3,0.774579,0.643924,0.625191,0.644819,0.719513,0.601316,0.544220,0.466512,0.465460,0.521279,0.516571,0.716230,0.705761,0.258108,0.163781,0.140697,0.288009,0.377360,0.684243,0.500190,0.445082,0.427680,0.390924,0.473057,1.338751,0.662967,0.509189,0.431131,0.404885,0.363676
batch 4,0.778506,0.654940,0.621883,0.653563,0.721535,0.621062,0.553131,0.472023,0.475871,0.531053,0.539137,0.786510,0.745639,0.248811,0.166779,0.134792,0.288650,0.431592,0.756020,0.560416,0.472649,0.425440,0.423021,0.446553,1.503197,0.721713,0.545428,0.477853,0.419651,0.361151
batch 5,0.846475,0.634932,0.603080,0.602465,0.648196,0.571194,0.584019,0.457874,0.456050,0.510305,0.534818,0.735225,0.762202,0.235572,0.164189,0.134117,0.286650,0.395702,0.758412,0.602605,0.500486,0.436728,0.425973,0.442343,1.604771,0.752304,0.522042,0.439511,0.399031,0.354597
batch 6,0.891041,0.693256,0.672325,0.668781,0.699098,0.666943,0.615178,0.490183,0.486242,0.546490,0.531748,0.761978,0.880991,0.248688,0.175136,0.137768,0.282707,0.420564,0.748145,0.568526,0.489234,0.459356,0.377628,0.487300,1.525366,0.722366,0.513695,0.449848,0.407082,0.372637
batch 7,0.687204,0.570619,0.572965,0.569792,0.653210,0.577669,0.541300,0.454811,0.453809,0.526671,0.503844,0.753726,0.657128,0.253605,0.171335,0.129930,0.251235,0.408151,0.661659,0.515136,0.466439,0.449040,0.376306,0.470815,1.376835,0.710279,0.522028,0.448014,0.411158,0.381538
batch 8,0.756712,0.632990,0.587239,0.599850,0.669342,0.586605,0.555687,0.460948,0.454844,0.516406,0.524717,0.758644,0.691021,0.245478,0.167842,0.129505,0.268534,0.413142,0.732740,0.540717,0.472389,0.430685,0.417755,0.442258,1.499834,0.729755,0.544349,0.435929,0.423165,0.370667
batch 9,0.926068,0.714358,0.660116,0.649059,0.708067,0.606675,0.595639,0.483539,0.468513,0.515063,0.515157,0.732461,0.863595,0.223162,0.179670,0.130844,0.277043,0.387139,0.772698,0.614360,0.541488,0.421076,0.407540,0.440721,1.613559,0.702421,0.505544,0.411772,0.369191,0.327662
batch 10,0.713002,0.628216,0.587191,0.591834,0.666901,0.556979,0.510667,0.452210,0.449093,0.513864,0.500510,0.753063,0.662367,0.230665,0.168107,0.136837,0.263428,0.399008,0.722687,0.537243,0.456470,0.457252,0.408590,0.470405,1.392800,0.709407,0.534055,0.468907,0.411038,0.363337
batch 11,0.779695,0.663843,0.593412,0.605496,0.619266,0.554503,0.574052,0.465633,0.476789,0.526062,0.539893,0.715607,0.786029,0.238038,0.164640,0.129046,0.251001,0.363726,0.761511,0.628645,0.543631,0.414260,0.371739,0.443926,1.597130,0.745908,0.528505,0.429396,0.367640,0.331827
batch 12,0.678693,0.590338,0.585928,0.595687,0.662491,0.570118,0.516770,0.441088,0.441056,0.507787,0.503241,0.726432,0.610130,0.264208,0.164560,0.131192,0.259373,0.390715,0.673924,0.503883,0.461996,0.453275,0.410645,0.463720,1.409641,0.715591,0.539817,0.463486,0.432479,0.385422
batch 13,0.741894,0.612026,0.597625,0.608476,0.704785,0.592343,0.534479,0.456751,0.445840,0.513337,0.505138,0.742932,0.666811,0.253818,0.176939,0.140360,0.287378,0.403368,0.659772,0.496298,0.439574,0.440785,0.384588,0.446206,1.358409,0.731069,0.535327,0.444902,0.434801,0.382866
batch 14,0.801831,0.659096,0.610566,0.618390,0.723614,0.616747,0.575573,0.481821,0.476700,0.531987,0.527126,0.723140,0.754916,0.257264,0.188856,0.137524,0.278140,0.396368,0.750607,0.580410,0.489158,0.445380,0.382291,0.478927,1.522997,0.742723,0.512774,0.452718,0.411466,0.371650
batch 15,0.718374,0.591884,0.589740,0.582755,0.647961,0.567356,0.526662,0.448384,0.443690,0.512624,0.486279,0.734912,0.667522,0.262594,0.171995,0.141590,0.262660,0.419111,0.655718,0.488026,0.438208,0.427983,0.383278,0.468493,1.457620,0.681847,0.531242,0.456818,0.434208,0.397999
batch 16,0.836420,0.681519,0.623607,0.623538,0.664692,0.611588,0.553747,0.464582,0.480974,0.513389,0.498569,0.705155,0.803615,0.240587,0.172126,0.141877,0.251963,0.375152,0.764463,0.565286,0.493465,0.429102,0.384903,0.463725,1.495847,0.708559,0.526723,0.478997,0.380777,0.356550
batch 17,0.733385,0.587830,0.587712,0.588638,0.663545,0.560986,0.536658,0.448354,0.442277,0.509152,0.496723,0.714346,0.684096,0.244373,0.169047,0.148419,0.262656,0.379995,0.707480,0.542948,0.491860,0.437478,0.358873,0.490987,1.517733,0.706882,0.525057,0.450020,0.405582,0.383042
batch 18,0.759037,0.666445,0.597078,0.630131,0.667842,0.608807,0.553906,0.465828,0.461856,0.520680,0.509473,0.745796,0.701804,0.255328,0.166149,0.134066,0.264459,0.403028,0.729854,0.560788,0.476402,0.465323,0.412038,0.448154,1.490426,0.737026,0.547488,0.479153,0.413832,0.372170
batch 19,0.911462,0.691145,0.624049,0.584079,0.678084,0.574522,0.642473,0.484025,0.465741,0.527223,0.521817,0.733767,0.902757,0.216452,0.169118,0.133636,0.259349,0.396555,0.832636,0.603470,0.534074,0.431712,0.383269,0.429150,1.458569,0.690701,0.484354,0.383005,0.395820,0.310027
batch 20,0.708016,0.626095,0.595889,0.625089,0.692750,0.601223,0.528417,0.457022,0.453169,0.507624,0.498289,0.743387,0.651213,0.265932,0.175451,0.137210,0.265834,0.400895,0.749790,0.535136,0.488150,0.461702,0.407495,0.457342,1.579874,0.733742,0.557744,0.473033,0.427467,0.379380
batch 21,0.762951,0.637153,0.621339,0.640677,0.687854,0.602681,0.548533,0.464872,0.460237,0.524336,0.505121,0.749726,0.711305,0.257702,0.171428,0.146922,0.275153,0.400640,0.705117,0.529370,0.471504,0.434538,0.406827,0.480602,1.500481,0.736801,0.538940,0.458803,0.424793,0.389762
batch 22,0.834773,0.646719,0.611668,0.627244,0.666028,0.548124,0.639646,0.474931,0.475586,0.525123,0.533580,0.695475,0.836347,0.250300,0.170251,0.135361,0.260855,0.362481,0.781119,0.603770,0.525438,0.444210,0.406950,0.418232,1.629981,0.743247,0.542903,0.435967,0.386260,0.354014
batch 23,0.759300,0.633273,0.601766,0.626528,0.729782,0.633754,0.553794,0.473273,0.473608,0.528270,0.514410,0.783632,0.700905,0.250159,0.171476,0.139731,0.280265,0.435429,0.670073,0.524364,0.457048,0.464757,0.375409,0.479331,1.407972,0.711280,0.535106,0.443078,0.428437,0.381957
batch 24,0.848045,0.664386,0.629795,0.648875,0.710105,0.591217,0.600518,0.479676,0.481266,0.530756,0.512815,0.748996,0.821272,0.255192,0.176151,0.143856,0.271868,0.400298,0.719857,0.538858,0.484842,0.434772,0.416919,0.482951,1.532974,0.731095,0.517343,0.461624,0.431724,0.375513
